event_id,id,title,genre,country,year,director,Length,Lang/Kurz,
A001,1,Asphalt,drama_romance,Deutschland,01.01.1928,Joe May,,Lang,
A002,2,L’atalante,drama_romance,Frankreich,01.01.1934,Jean Vigo,,Lang,
A003,3,Gilda,drama_romance,USA,01.01.1946,Charles Vidor,,Lang,
A004,4,The Postman Always Rings Twice,drama_romance,USA,01.01.1946,Tay Garnett,,Lang,
A005,5,Ossessione,drama_romance,Italien,01.01.1943,Luchino Visconti,,Lang,
A006,6,Die Zeit mit Monika,drama_romance,Schweden,01.01.1953,Ingmar Bergman,93,Lang,
A007,7,Vivre sa vie,drama_romance,Frankreich,01.01.1963,Jean-Luc Godard,,Lang,
A008,8,Die Liebe einer Blondine,drama_romance,Tschechoslowakei,01.01.1965,Milos Forman,88,Lang,
A009,9,Die Frau in den Dünen,drama_romance,Japan,01.01.1962,Hiroshi Teshigahara,123,Lang,
A010,10,Hécate,drama_romance,Schweiz,01.01.1982,Daniel Schmid,,Lang,
A011,11,Moulin Rouge!,drama_romance,USA,01.01.2001,Baz Luhrman,,Lang,
A012,12,Well Done,documentary,Schweiz,01.01.1994,Thomas Imbach,,Lang,
A013,13,Ghetto,documentary,Schweiz,01.01.1997,Thomas Imbach,,Lang,
A014,14,Happy Too,documentary,Schweiz,01.01.2002,Thomas Imbach,,Lang,
A015,15,Day is Done,documentary,Schweiz,01.01.2011,Thomas Imbach,,Lang,
A017,17,Balagan,documentary,Schweiz,01.01.1993,Andres Veiel,,Lang,
A018,18,Die Spielwütigen,documentary,Schweiz,01.01.2004,Andres Veiel,108,Lang,
A019,19,La Bonne Conduite,documentary,Schweiz,01.01.1905,Jean-Stéphane Bron,,Lang,
A020,20,Mais im Bundeshuus,documentary,Schweiz,01.01.2003,Jean-Stéphane Bron,90,Lang,
A021,21,Cleveland vs. Wall Street,documentary,Schweiz,01.01.2006,Jean-Stéphane Bron,98,Lang,
A022,22,L’éxperience Blocher,documentary,Schweiz,01.01.2013,Jean-Stéphane Bron,,Lang,
A025,23,,x,x,x,x,,,
A026,24,Letzte Spuren,documentary,Schweiz,01.01.2013,"Norbert Kottmann, Oliver Rogers",7,Kurz,
A027,25,Die Demokratie ist los!,documentary,Schweiz,01.01.1969,Thomas Isler,87,Kurz,
A027,26,Universität in Raumnot,documentary,Schweiz,01.01.1969,Thomas Isler,12,Kurz,
A030,28,Gutes Recht,drama_romance,Schweiz,01.01.2014,Anita Blumer,,,
A031,29,«Inszenierte Städte = Villes mises en scène,documentary,Schweiz,01.01.1994,"Stefan Meichtry; Felix Schaad, Katrin Oettli, Alexandra Papadopoulos; Pierre Mennel, Eveline Arnold; Aurelio Galfetti",90,,
A032,30,First Strike,game_music_theatre,Schweiz,01.01.2013,Feinheit GmbH,90,Kurz,
A033,31,"As I Was Moving Ahead, Occasionally I Saw Brief Glimpses of Beauty",experimental,USA,01.01.2000,Jonas Mekas,,,
A033,32,Eniaios,experimental,USA,01.01.1990,Gregory Markopoulos,4800,,
A033,33,Magellan,experimental,USA,01.01.1980,Hollis Frampton,480,Lang,
A034,34,Parvaneh,drama_romance,Schweiz,01.01.2012,Talkhon Hamzavi,,Lang,
A035,35,Rondo,documentary,Schweiz,01.01.1968,Markus Imhoof,,Lang,
A035,36,Mündel Walter,documentary,Schweiz,01.01.2014,Aron Marty,16,Kurz,
A036,37,Forbidden Planet,sci-fi_fantasy,USA,01.01.1956,Fred M. Wilcox,,Kurz,
A037,38,Close Encounters of the Third Kid,sci-fi_fantasy,USA,01.01.1977,Steven Spielberg,137,Kurz,
A038,39,Abyss,sci-fi_fantasy,USA,01.01.1989,James Cameron,,Lang,
A039,40,Contact,sci-fi_fantasy,USA,01.01.1997,Robert Zemeckis,,Lang,
A040,41,District 9,sci-fi_fantasy,USA,01.01.2007,Neill Blomkamp,,Lang,
A041,42,The Graduate,comedy,USA,01.01.1967,Mike Nichols,,Lang,
A042,43,Eskimo Limon,drama_romance,Deutschland,01.01.1978,Boaz Davidson,95,Lang,
A042,43,Eskimo Limon,drama_romance,Deutschland,01.01.1978,Boaz Davidson,95,Lang,
A043,44,The Breakfast Club,comedy,USA,01.01.1985,John Hughes,,Lang,
A044,45,"Mon Père, ce Héros",comedy,Frankreich,01.01.1991,Gérard Lauzier,,Lang,
A045,46,Juno,drama_romance,USA,01.01.2007,Jason Reitman,,Lang,
A046,47,Psycho,thriller_horror,USA,01.01.1960,Alfred Hitchcock,,Lang,
A047,48,Le Locataire,thriller_horror,USA,01.01.1976,Roman Polanski,126,Lang,
A048,49,Blow Out,thriller_horror,USA,01.01.1981,Brian de Palma,,Lang,
A049,50,The Game,thriller_horror,USA,01.01.1997,David Fincher,,Lang,
A050,51,Oldboy,thriller_horror,Südkorea,01.01.2003,Park Chan-Wook,,Lang,
A051,52,Zaungespräche,documentary,Schweiz,01.01.2014,Lisa Gerig,14,Lang,
A051,53,Rivalen,drama_romance,Schweiz,01.01.2014,Moris Freiburghaus,10,Lang,
A051,54,Wandelzeit,documentary,Schweiz,01.01.2015,Jan-Eric Mack,10,Kurz,
